Наименование,Признаки,ИНН,Адрес,Сайт,Дата добавления
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПРАВИЛЬНОЕ ФИНАНСОВОЕ РЕШЕНИЕ""",Признаки нелегального кредитора,9203547540,"299001, г. Севастополь, ул. Розы Люксембург, 25",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ЭДЕЛЬВЕЙС""",Признаки нелегального кредитора,6168111985,"344058, Ростовская обл., г. Ростов-на-Дону, пр-т Коммунистический, д. 10/2 оф. 2",,01.06.2021
"Комиссионный магазин ""Цифровой""",Признаки нелегального кредитора,,"215713, Смоленская обл., г. Дорогобуж, ул. Мира, д. 6;215750, Смоленская обл., г. Верхнеднепровский, ул. Комсомольская, д. 29",,01.02.2021
Makerun Corp,Признаки нелегального профессионального участника рынка ценных бумаг,,"Trust Company Complex, Ajeltake Road, Ajeltake Island, Majuro, Republic of the Marshall Islands, MH 96960",finrally.com,01.06.2021
"EuroStandarte, Pineda International SP ZOO, Euro Corp SP Zoo",Признаки нелегального профессионального участника рынка ценных бумаг,,,eurostandarte.com,01.06.2021
Crypto-Max,Признаки финансовой пирамиды,,,crypto-max.com,01.06.2021
Nasdaq-Market,Признаки нелегального профессионального участника рынка ценных бумаг,,,nasdaq-market.trade,01.02.2021
KMM Invest,Признаки финансовой пирамиды,,,kmm-invest.ru,01.06.2021
UMBRELLA FUND SZKB FONDS - SZKB Ethikfonds Einkommen / Umbrella Fund,Признаки нелегального профессионального участника рынка ценных бумаг,,,umbrella-invest.com,01.06.2021
TRADE-IN,Признаки нелегального кредитора,,"672042, Забайкальский край, г. Чита, ул. Весенняя, д. 28а",,01.02.2021
ЕSCAPE,Признаки нелегального кредитора,,"665717, Иркутская обл., г. Братск, ул. Южная, 12",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ""ЭЛЬ-КОММЕРС"" (EL COMMERCE GROUP)",Признаки финансовой пирамиды,6950243732,"170100, Тверская область, г. Тверь, ул. Андрея Дементьева, д. 23, пом. 11, оф. 1",el-commerce.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ИНВЕСТИЦИОННАЯ КОМПАНИЯ ""БИЛЛИОНС КЭПИТАЛ""",Признаки финансовой пирамиды,7703473405,"123112, г. Москва, наб. Пресненская, д. 12, эт. 29, ком. А30, пом.3",billions.coop,01.06.2021
Ломбард,Признаки нелегального кредитора,,"632640, Новосибирская обл., р.п. Коченево, ул. Банковская, д. 8",,01.02.2021
Комиссионный магазин У Космоса,Признаки нелегального кредитора,,"644027, Омская обл., г. Омск, пр. Космический, 17Б, к. 1",,01.02.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""РЕФФИНАНС""",Признаки нелегального кредитора,6164129445,"344002, Ростовская обл., г. Ростов-на-Дону, пер. Газетный, д. 47Б, офис 211",,01.06.2021
Ломбард,Признаки нелегального кредитора,,"164840, Архангельская обл, Онежский район, г. Онега, пр. Ленина, д. 188",vk.com/lombikonega,01.02.2021
Seabreeze Partners Ltd,Признаки нелегального профессионального участника рынка ценных бумаг,,,"invest-flow.io, profitassist.io, profitassist.cc",01.06.2021
AlfaCorporation,Признаки нелегального профессионального участника рынка ценных бумаг,,,alfacorpltd.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИКРИПТ ЛИМИТЕД"" (""UNICRYPT"")",Признаки финансовой пирамиды,1661063812,"420037, Республика Татарстан, г. Казань, ул. Челюскина, д. 25А, пом. 1105",unicrypt.me,01.06.2021
Ломбард Оникс,Признаки нелегального кредитора,,"644027, Омская обл., г. Омск, пр. Космический, 17Б",,01.02.2021
"ПОТРЕБИТЕЛЬСКИЙ КООПЕРАТИВ ПО РЕАЛИЗАЦИИ ЦЕЛЕВЫХ ПРОГРАММ ДЛЯ ПАЙЩИКОВ ""ПЕНСИОННЫЙ ГАРАНТ""",Признаки финансовой пирамиды,7325167439,"432030, Ульяновская область, г. Ульяновск, ул. Юности, д. 5/96, оф. 203А",pgarant-pk.ru,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИРФИН""",Признаки нелегального кредитора,4246021103,"652470, Кемеровская обл. - Кузбасс, г. Анжеро-Судженск, ул. Пушкина, д. 11",mirfin-zaim.ru,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""ПЕРУН""",Признаки нелегального кредитора,7017458183,"634059, Томская обл., г. Томск, проспект Мира, д. 33 кв. 72",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНС""",Признаки нелегального кредитора,7536175904,"672042, Забайкальский край, г. Чита, микрорайон 5-й, д. 36 кв. 59",,01.06.2021
Комиссионный магазин Купец,Признаки нелегального кредитора,,"672030, Забайкальский край, г. Чита, пр. Фадеева, д. 21А ",,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕКС ИНВЕСТ32""",Признаки нелегального кредитора,4632193932,"305048, Курская обл., г. Курск, пр-т Дружбы, д. 11/2, кв. 180",zaemrub.ru,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ МИКРОКРЕДИТНАЯ КОМПАНИЯ ""АЛЕКС ИНВЕСТ46""",Признаки нелегального кредитора,4632193530,"305014, Курская обл., г. Курск, пр-т Победы, д. 50, офис 48",zaemrub.ru,01.06.2021
"GamePlex, GamePlex Group, Gameplex Group Limited",Признаки финансовой пирамиды,,,gameplex.group,01.06.2021
"FINXEX, Finxex LTD",Признаки финансовой пирамиды,,,finxex.com,01.06.2021
Первый комиссионный,Признаки нелегального кредитора,,"630073, Новосибирская область, г. Новосибирск, ул. Блюхера, д. 24;630008, Новосибирская область, г. Новосибирск, ул. Гурьевская, д. 76;630001, Новосибирская область, г. Новосибирск, ул. Дуси Ковальчук, д. 75/1",,01.06.2021
"Ювелирный салон-ломбард ""Золотая цепь""",Признаки нелегального кредитора,,"667004, Республика Тыва, г. Кызыл, ул. Буренская, д. 16",,01.06.2021
"Secretcryptodeals, Secret Сrypto Deals, Postcryptumtech, Post Cryptum Tech",Признаки финансовой пирамиды,,"354053, Краснодарский край, г. Сочи, ул. Полтавская, д. 306","secretcryptodeals.com, postcryptum.tech",01.06.2021
Grandis Capital Trade,Признаки нелегального профессионального участника рынка ценных бумаг,,,"grandiscapitaltrade.com, grandiscapital-trade.com",01.06.2021
"Investments Markets, GFI Markets Investments Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,investmentsmarkets.com,01.06.2021
"GP-Com, GP-Com Limited",Признаки нелегального профессионального участника рынка ценных бумаг,,,"gp-com.com, trade.gp-com.com",01.06.2021
"XOINC, Exchange Office Incorporation",Признаки нелегального профессионального участника рынка ценных бумаг,,,trade.xo-inc.com,01.06.2021
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЛАТИНУМ"" (ДО 06.08.2018 ООО ""ЛОМБАРД ""ПЛАТИНУМ"") (ЛОМБАРД ПЛАТИНУМ)",Признаки нелегального кредитора,3817040574,"666224, Иркутская область, Качугский район, деревня Ацикяк, Трактовая улица, д.6, кв.2","instagram.com/lombard_ui, vk.com/public42316036",01.06.2021
"DBS24Trade, Dbs 24 trade",Признаки нелегального профессионального участника рынка ценных бумаг,,,"dbs24trade.com, my.dbs24trade.com, webtrader.dbs24trade.com",01.06.2021
АвтоГарант,Признаки нелегального кредитора,,"664075, Иркутская область, г. Иркутск, ул. Дальневосточная, д.154/10",av38.ru,01.06.2021
Центр Скупки,Признаки нелегального кредитора,,"191036, г. Санкт-Петербург, ул. Восстания, д. 3-5;194358, г. Санкт-Петербург, пр. Энгельса, д. 143, к. 1;198217, г. Санкт-Петербург, б-р Новаторов, д. 116;195257, г. Санкт-Петербург, Гражданский пр., д. 75 к. 1;197371, г. Санкт-Петербург, ул. Уточкина, д. 8;193232, г. Санкт-Петербург, пр. Большевиков, д. 25",bu78.ru,01.06.2021
Smart Buyers,Признаки финансовой пирамиды,,,"instagram.com/smart_buyers_2, instagram.com/smart_buyers_, instagram.com/smart_byuers, instagram.com/ssmart_byuersss, instagram.com/smart_beri, instagram.com/smart.buyers_, instagram.com/ssmart_buyersss, instagram.com/smart_buyers_vyplatu, instagram.com/smart.buyers2, instagram.com/smart_buyers25, t.me/SSMART_BUYERSSS, vk/com/elya_bayers ",01.06.2021
